Total Bathrooms,AC,NUM_UNITS,ROOMS,BEDRM,RMDL_10,SALEDATE,PRICE,SALE_NUM,GBA,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,ZIPCODE,Census,X,Y,grade_5_english_75_N,grade_5_english_25_N,grade_5_math_75_N,grade_5_math_25_N,grade_8_english_75_N,grade_8_english_25_N,grade_8_math_75_N,grade_8_math_25_N,grade_9_12_english_75_N,grade_9_12_english_25_N,grade_9_12_math_75_N,grade_9_12_math_25_N,Starbucks_count_N,McDonalds_count_N,Population_size,Percent_White,Percent_Black,Percent_AmInd,Percent_Asian,Percent_HI_PI,Percent_Other_mixed,Percent_Hispanic,Percent_18plus,Total_Hounting_Units,Percent_Occupied,Percent_Vacant,FAGI_Total,FAGI_Median,Crime,,,,
1.5,Y,1,5,3,Yes,3/2/16 0:00,396550,3,1056,Very Good,1,0,2990,1625 U STREET SE,20020,7500.04,-76.98111293,38.86477281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2.5,Y,1,8,3,No,7/18/16 0:00,379300,4,1672,Very Good,1,0,5143,1850 WOODMONT PLACE SE,20020,7500.04,-76.97586517,38.86375201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
4,N,4,12,4,Yes,9/14/16 0:00,362730,3,3140,Good,4,0,3876,1643 V STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
4,Y,4,16,4,Yes,5/13/16 0:00,336000,4,2788,Good,4,0,4329,2320 PITTS PLACE SE,20020,7500.04,-76.98475437,38.85934261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2.5,Y,1,7,4,No,8/30/16 0:00,305000,2,1360,Good,1,0,2498,2222 HUNTER PLACE SE,20020,7500.04,-76.98475437,38.85934261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
1.5,Y,1,6,3,No,3/9/16 0:00,288600,3,1080,Average,1,0,3465,2356 GREEN STREET SE,20020,7500.04,-76.98085408,38.86168841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2,Y,1,7,3,Yes,6/28/16 0:00,282000,6,1500,Average,1,0,2750,1422 MORRIS ROAD SE,20020,7500.04,-76.98729735,38.86013242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
2.5,Y,1,7,3,No,11/8/16 0:00,250000,2,1824,Good,1,0,7200,1748 W STREET SE,20020,7500.04,-76.98064806,38.86355574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
1.5,Y,1,5,2,No,4/28/16 0:00,249000,2,864,Average,1,0,1317,1419 BANGOR STREET SE,20020,7500.04,-76.98729735,38.86013242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3,Y,2,12,4,No,3/16/16 0:00,104004,7,2556,Average,4,0,4745,1735 GALEN STREET SE,20020,7500.04,-76.98085408,38.86168841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
1,N,1,6,3,No,11/18/16 0:00,75000,3,864,Average,1,0,1553,1956 FENDALL STREET SE,20020,7500.04,-76.97919791,38.86516942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
3.5,Y,1,8,4,No,4/8/16 0:00,40550,2,2004,Good,1,0,2860,1650 V STREET SE,20020,7500.04,-76.98111293,38.86477281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,0.010199918,0.966952264,0.002039984,0.001631987,0,0.028967768,0.00244798,0.674010608,1215,0.828806584,0.171193416,31827145,22229.5,621.0447416,,,,
