BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,YR_RMDL,SALEDATE,PRICE,SALE_NUM,GBA,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,CENSUS_TRACT
3,0,Y,1,12,4,,1/6/16 0:00,511950,4,1613,Very Good,Very Good,Brick/Siding,Comp Shingle,Hardwood/Carp,1,0,4976,1832 WOODMONT PLACE SE,WASHINGTON,DC,20020,7504
1,1,N,1,6,3,,1/6/16 0:00,119700,4,1542,Average,Average,Wood Siding,Metal- Sms,Wood Floor,1,0,2264,1349 W STREET SE,WASHINGTON,DC,20020,7503
2,1,Y,1,6,3,,1/6/16 0:00,327000,3,2160,Above Average,Very Good,Vinyl Siding,Comp Shingle,Hardwood/Carp,1,0,1706,3138 15TH PLACE SE,WASHINGTON,DC,20020,7404
1,0,Y,,4,1,2015,1/6/16 0:00,335000,2,,,,,,,,0,866,,,,20017,9204
2,1,Y,,4,2,,1/6/16 0:00,637500,5,,,,,,,,1,1906,,,,20016,801
1,0,Y,,3,1,1979,1/6/16 0:00,273000,3,,,,,,,,0,115,,,,20037,5600
1,0,Y,,2,0,1983,1/6/16 0:00,244000,2,,,,,,,,0,85,,,,20005,5201
2,0,Y,,6,3,,1/6/16 0:00,299900,2,,,,,,,,0,2788,,,,20020,7407
2,0,Y,,5,2,2004,1/6/16 0:00,560000,4,,,,,,,,0,479,,,,20009,3700
1,0,Y,,4,2,2007,1/6/16 0:00,485000,3,,,,,,,,0,699,,,,20010,2801
2,0,Y,,4,2,,1/6/16 0:00,620000,4,,,,,,,,0,316,,,,20009,3800
1,0,Y,,3,1,2009,1/6/16 0:00,241000,2,,,,,,,,0,236,,,,20002,8702
3,0,Y,,5,3,2016,1/6/16 0:00,665000,2,,,,,,,,0,800,,,,20002,8701
1,0,N,,4,1,2000,1/6/16 0:00,380000,4,,,,,,,,0,205,,,,20009,3700
3,1,Y,,6,3,,1/6/16 0:00,580000,5,,,,,,,,1,1304,,,,20011,2101
1,1,Y,,5,2,,1/6/16 0:00,466615,2,,,,,,,,0,1976,,,,20024,10500
1,0,Y,,5,2,,1/6/16 0:00,495000,2,,,,,,,,0,291,,,,20008,1302
2,0,Y,,4,2,2005,1/6/16 0:00,617500,7,,,,,,,,0,113,,,,20001,4702
1,0,Y,,3,1,,1/6/16 0:00,445000,4,,,,,,,,0,244,,,,20001,4802
6,0,N,4,19,7,2006,1/7/16 0:00,1321410,4,3579,Good Quality,Very Good,Face Brick,Metal- Pre,Hardwood,4,1,1383,420 D STREET NE,WASHINGTON,DC,20002,8301
1,1,Y,1,7,2,1995,1/7/16 0:00,779000,5,1190,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,1,3,1012,920 MARYLAND AVENUE NE,WASHINGTON,DC,20002,8402
3,2,Y,1,7,3,1990,1/7/16 0:00,1850000,3,2218,Superior,Average,Common Brick,Slate,Hardwood,1,2,3562,1421 34TH STREET NW,WASHINGTON,DC,20007,202
4,1,Y,1,10,4,2015,1/7/16 0:00,1170000,3,2130,Good Quality,Good,Wood Siding,Comp Shingle,Hardwood,1,1,3640,5020 42ND STREET NW,WASHINGTON,DC,20016,1100
3,1,Y,1,8,6,2015,1/7/16 0:00,1426000,2,3336,Very Good,Good,Common Brick,Comp Shingle,Hardwood,1,2,4743,2938 UPTON STREET NW,WASHINGTON,DC,20008,1302
7,2,Y,2,15,8,2017,1/7/16 0:00,4000000,4,6691,Exceptional-A,Excellent,Common Brick,Slate,Hardwood,2,4,17000,2806 CHESTERFIELD PLACE NW,WASHINGTON,DC,20008,1301
1,2,N,1,7,4,,1/7/16 0:00,,3,1916,Good Quality,Good,Common Brick,Built Up,Hardwood,1,2,1936,1658 HOBART STREET NW,WASHINGTON,DC,20009,2702
2,1,Y,1,6,3,,1/7/16 0:00,,2,1550,Above Average,Average,Common Brick,Slate,Hardwood,1,1,4671,1431 WHITTIER PLACE NW,WASHINGTON,DC,20012,1803
4,0,Y,4,12,4,2009,1/7/16 0:00,879000,3,2568,Average,Good,Common Brick,Built Up,Hardwood,4,0,1942,3506 NEW HAMPSHIRE AVENUE NW,WASHINGTON,DC,20010,2900
3,1,N,1,8,4,2016,1/7/16 0:00,,3,1528,Good Quality,Average,Common Brick,Metal- Sms,Hardwood,1,0,1500,1301 BUCHANAN STREET NW,WASHINGTON,DC,20011,2501
2,0,Y,1,6,3,1990,1/7/16 0:00,385000,4,1508,Average,Average,Wood Siding,Metal- Sms,Hardwood,1,1,1580,648 PARK ROAD NW,WASHINGTON,DC,20010,3200
1,1,N,1,7,3,,1/7/16 0:00,625000,2,1768,Above Average,Average,Common Brick,Built Up,Hardwood/Carp,1,1,1712,201 RHODE ISLAND AVENUE NE,WASHINGTON,DC,20002,8702
1,1,N,1,7,3,,1/7/16 0:00,516000,4,1668,Above Average,Average,Common Brick,Metal- Sms,Hardwood,1,0,1250,19 FRANKLIN STREET NE,WASHINGTON,DC,20002,9203
2,0,N,2,8,4,,1/7/16 0:00,350000,3,1152,Average,Average,Common Brick,Built Up,Hardwood,2,0,2582,228 WEBSTER STREET NE,WASHINGTON,DC,20011,9501
1,0,Y,1,7,3,,1/7/16 0:00,,2,1612,Above Average,Average,Common Brick,Comp Shingle,Hardwood,1,1,5306,2615 OTIS STREET NE,WASHINGTON,DC,20018,9400
4,0,N,4,16,8,2014,1/7/16 0:00,782255,2,3170,Above Average,Good,Common Brick,Built Up,Hardwood,4,0,2915,1613 F STREET NE,WASHINGTON,DC,20002,7901
1,1,N,1,7,3,,1/7/16 0:00,,3,1396,Average,Average,Brick/Siding,Built Up,Hardwood,1,0,1283,1728 C STREET NE,WASHINGTON,DC,20002,7901
